#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
91,Ethiopia,"494,578",,"7,572                                ",,"472,443",,"14,563",1,"4,094",63,"5,363,247","44,393","120,812,698 ",Africa,,"24415,95523",,,121,
92,Qatar,"478,848",,685                                ,,"476,620",,"1,543",,"160,692",230,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3501",,,518,
93,Réunion,"476,088",,902                                ,,"418,572",,"56,614",10,"524,291",993,"1,603,660","1,766,027","908,061 ",Africa,,"21,0071",,,"62,346",
94,Honduras,"458,023",,"11,043                                ",,N/A,N/A,N/A,105,"44,811","1,080","1,563,056","152,922","10,221,247 ",North America,,229267,,,"30,763",
95,Armenia,"445,737",,"8,710                                ",,"434,866",,"2,161",,"149,981","2,931","3,235,175","1,088,564","2,971,966 ",Asia,,73411,,,727,
96,Bosnia and Herzegovina,"400,548",,"16,202                                ",,"378,395",,"5,951",,"123,271","4,986","1,879,420","578,405","3,249,317 ",Europe,,82012,,,"1,831",
97,Oman,"399,027",,"4,260                                ",,"384,669",,"10,098",2,"74,949",800,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,2500",,,"1,897",
98,North Macedonia,"344,710",,"9,568                                ",,"334,335",,807,,"165,622","4,597","2,141,032","1,028,697","2,081,304 ",Europe,,62181,,,388,
99,Kenya,"341,636",,"5,684                                ",,"335,346",,606,1,"6,077",101,"3,941,058","70,107","56,215,221 ",Africa,,"1659,89014",,,11,
100,Zambia,"333,746",,"4,019                                ",,"329,690",,37,,"17,141",206,"3,765,147","193,380","19,470,234 ",Africa,,"584,8455",,,2,
101,Albania,"333,343",,"3,593                                ",,"328,205",,"1,545",,"116,294","1,254","1,941,032","677,173","2,866,374 ",Europe,,97981,,,539,
102,Botswana,"326,633",,"2,790                                ",,"323,747",,96,1,"133,802","1,143","2,026,898","830,300","2,441,162 ",Africa,,78751,,,39,
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883",
104,Montenegro,"283,719",,"2,790                                ",,"280,705",,224,6,"451,818","4,443","2,664,018","4,242,405","627,950 ",Europe,,22250,,,357,
105,Algeria,"271,090",,"6,881                                ",,"182,564",,"81,645",,"5,978",152,"230,861","5,091","45,350,148 ",Africa,,"1676,591196",,,"1,800",
106,Nigeria,"266,283",,"3,155                                ",,"259,640",,"3,488",11,"1,229",15,"5,441,162","25,104","216,746,934 ",Africa,,"81468,70040",,,16,
107,Zimbabwe,"257,893",,"5,606                                ",,"251,904",,383,12,"16,821",366,"2,525,756","164,744","15,331,428 ",Africa,,"592,7356",,,25,
108,Uzbekistan,"246,520",,"1,637                                ",,"241,486",,"3,397",23,"7,170",48,"1,377,915","40,077","34,382,084 ",Asia,,"13921,00325",,,99,
109,Brunei ,"241,044",,225                                ,,"222,140",,"18,679",3,"541,148",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"41,935",
110,Mozambique,"230,624",,"2,226                                ",,"228,310",,88,11,"6,970",67,"1,371,127","41,437","33,089,461 ",Africa,,"14314,86524",,,3,
111,Martinique,"224,468",,"1,071                                ",,N/A,N/A,N/A,8,"600,042","2,863","828,928","2,215,870","374,087 ",North America,,23490,,,"596,901",
112,Laos,"216,744",+51,758                                ,,N/A,N/A,N/A,,"28,973",101,"1,233,207","164,845","7,481,023 ",Asia,,"359,8696",7,,"27,847",
113,Iceland,"207,171",,219                                ,,N/A,N/A,N/A,2,"599,812",634,"1,996,384","5,780,036","345,393 ",Europe,,"21,5770",,,"380,051",
114,Kyrgyzstan,"206,530",,"2,991                                ",,"196,406",,"7,133",131,"30,696",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,060",
115,Afghanistan,"205,907",,"7,833                                ",,"183,029",,"15,045","1,124","5,052",192,"1,156,470","28,377","40,754,388 ",Asia,,"1985,20335",,,369,
